RefId,PurchDate,Auction,VehicleAge,Make,Model,Trim,Color,Transmission,WheelType,VehOdo,Size,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNST,VehBCost,IsOnlineSale,WarrantyCost,AverageAcquisitionPrice,AverageCurrentPrice,PriceDiff,DepreciationValue,MilesPerYear,EngineSize,WheelDrives,Cylinders,NumDoors,Litres
100011,3,0,5,5,140,83,13,1,1,65393,7,7243.0,8582.0,11805.0,13250.0,7863.0,10109.0,12295.0,15807.0,5,8400.0,0,1411,10220.0,11518.5,13.0,-4.0,13000.0,2,1,2,4,5.7
100012,3,0,3,4,7,7,2,1,2,78241,10,8864.0,10403.0,13575.0,14872.0,8817.0,10367.0,12726.0,14374.0,5,9500.0,0,1389,11928.5,11571.0,-3.0,-7.0,26000.0,0,3,2,4,-1.0
100013,3,0,5,6,345,7,2,2,1,57723,11,4335.0,5331.0,8448.0,10389.0,5960.0,7040.0,8576.0,9924.0,5,7000.0,0,671,7125.75,7875.0,11.0,-0.0,12000.0,1,3,2,2,-1.0
100014,3,0,4,3,54,2,2,1,1,78434,5,10272.0,12753.0,15509.0,17813.0,11671.0,13560.0,16535.0,18390.0,5,10700.0,0,1272,14086.75,15039.0,7.0,-6.0,20000.0,0,0,2,4,5.3
100015,3,0,6,9,447,30,5,1,1,55711,6,2742.0,3724.0,5794.0,6788.0,2719.0,3894.0,5549.0,6795.0,5,5100.0,0,971,4762.0,4739.25,-0.0,1.0,9000.0,1,3,2,4,-1.0
100016,3,0,5,20,436,7,14,1,0,86889,1,4522.0,5544.0,8115.0,9156.0,4522.0,5544.0,8115.0,9156.0,5,5200.0,0,594,6834.25,6834.25,0.0,-5.0,17000.0,0,3,2,4,1.8
100017,3,0,6,4,363,0,14,1,1,68990,2,6109.0,7449.0,9669.0,11713.0,6695.0,8221.0,9519.0,11325.0,5,8500.0,0,1215,8735.0,8940.0,2.0,-0.0,11000.0,0,2,2,4,-1.0
100018,3,0,7,5,0,55,1,1,1,82146,5,6529.0,8087.0,11855.0,15842.0,6283.0,7591.0,9811.0,11189.0,5,9400.0,0,1283,10578.25,8718.5,-18.0,-2.0,12000.0,0,0,2,-1,4.7
100019,3,0,4,5,140,91,14,1,1,50308,7,8219.0,9414.0,12742.0,14018.0,8881.0,10454.0,13601.0,15016.0,5,9635.0,0,1086,11098.25,11988.0,8.0,-3.0,13000.0,2,0,2,4,4.7
100020,3,0,4,6,200,75,3,1,2,63557,6,6961.0,8524.0,10753.0,12665.0,8193.0,9725.0,11724.0,13068.0,5,7100.0,0,728,9725.75,10677.5,10.0,-7.0,16000.0,0,3,0,4,-1.0
100021,3,0,4,23,253,3,5,1,2,76052,6,5034.0,6206.0,8358.0,9604.0,5265.0,6275.0,8540.0,10178.0,5,4900.0,0,803,7300.5,7564.5,4.0,-8.0,19000.0,0,3,2,4,-1.0
100022,3,0,4,26,192,0,13,1,1,72479,6,3620.0,4720.0,6484.0,8037.0,4439.0,5373.0,7460.0,9030.0,5,4600.0,0,569,5715.25,6575.5,15.0,-5.0,18000.0,0,3,2,4,-1.0
100023,3,0,9,3,482,7,15,1,1,86483,4,5498.0,6393.0,8910.0,9822.0,6614.0,7649.0,9808.0,10913.0,5,8300.0,0,2063,7655.75,8746.0,14.0,1.0,10000.0,0,0,2,4,5.3
100024,3,0,4,12,281,95,13,1,1,57338,8,8597.0,10149.0,12331.0,13928.0,8931.0,10567.0,12439.0,13962.0,5,7500.0,0,588,11251.25,11474.75,2.0,-8.0,14000.0,1,0,2,4,-1.0
100025,3,0,5,5,140,86,13,1,2,79957,7,6242.0,8058.0,10261.0,12091.0,6698.0,7400.0,11325.0,11897.0,5,7700.0,0,1389,9163.0,9330.0,2.0,-3.0,16000.0,2,0,2,4,4.7
100026,3,0,7,8,150,22,3,1,1,78559,8,6412.0,7495.0,10072.0,11343.0,7166.0,8201.0,10148.0,11289.0,5,8000.0,0,986,8830.5,9201.0,4.0,-1.0,11000.0,0,0,2,4,-1.0
100027,3,0,3,3,232,49,10,1,1,48386,6,7470.0,9106.0,11322.0,13321.0,8333.0,9667.0,12066.0,12969.0,5,7200.0,0,623,10304.75,10758.75,4.0,-10.0,16000.0,0,3,2,4,2.2
100028,3,0,6,3,510,49,13,1,1,74954,7,6115.0,7807.0,10007.0,11980.0,6860.0,8150.0,10219.0,11276.0,5,8900.0,0,1155,8977.25,9126.25,2.0,-0.0,12000.0,0,0,2,4,4.2
100029,3,0,8,3,508,48,5,1,1,49328,7,4081.0,5039.0,7246.0,8315.0,5204.0,6130.0,8011.0,8587.0,5,7400.0,0,1134,6170.25,6983.0,13.0,2.0,6000.0,0,0,1,4,4.2
100030,3,0,6,5,0,86,12,1,1,80491,5,6601.0,8123.0,10917.0,12227.0,7456.0,9222.0,11374.0,12791.0,5,9400.0,0,983,9467.0,10210.75,8.0,-0.0,13000.0,0,0,2,-1,4.7
100031,3,0,5,6,196,75,13,1,2,85003,12,4645.0,5384.0,8601.0,9504.0,4645.0,6079.0,7487.0,9288.0,5,5600.0,0,1633,7033.5,6874.75,-2.0,-4.0,17000.0,1,2,2,-1,3.9
100032,3,0,5,5,0,83,7,1,1,56064,5,9202.0,11302.0,13865.0,15718.0,9922.0,12211.0,14344.0,16829.0,5,11300.0,0,754,12521.75,13326.5,6.0,-2.0,11000.0,0,0,2,-1,5.7
100033,3,0,6,6,170,106,15,1,1,75806,4,7512.0,9026.0,11459.0,13719.0,7817.0,9222.0,10733.0,12322.0,5,8600.0,0,1038,10429.0,10023.5,-4.0,-3.0,13000.0,2,0,2,4,4.6
100034,3,0,8,21,35,28,4,1,2,77233,6,2072.0,2862.0,5511.0,7612.0,2099.0,3193.0,4617.0,5559.0,5,4600.0,0,1806,4514.25,3867.0,-14.0,0.0,10000.0,0,3,0,4,-1.0
100035,3,0,5,3,160,48,14,1,1,71423,7,7174.0,8314.0,10657.0,11866.0,7672.0,8960.0,10866.0,12399.0,5,8800.0,0,1389,9502.75,9974.25,5.0,-1.0,14000.0,1,2,2,4,-1.0
100036,3,0,5,5,466,91,15,1,1,85388,6,3689.0,4605.0,6809.0,7730.0,4108.0,5183.0,7356.0,8535.0,5,5000.0,0,1243,5708.25,6295.5,10.0,-2.0,17000.0,0,3,0,4,-1.0
100037,3,0,4,3,232,49,14,1,1,69337,6,6627.0,7770.0,10753.0,11777.0,5671.0,6870.0,9349.0,11038.0,5,6500.0,0,728,9231.75,8232.0,-11.0,-7.0,17000.0,0,3,2,4,2.2
100038,3,0,3,22,228,7,2,1,1,71062,3,7939.0,9414.0,11525.0,13317.0,8305.0,10003.0,11625.0,13681.0,5,8200.0,0,1974,10548.75,10903.5,3.0,-7.0,24000.0,0,3,2,4,-1.0
100039,3,0,6,23,253,1,13,2,1,67785,6,3103.0,3790.0,5925.0,6671.0,2395.0,3388.0,5220.0,6301.0,5,4400.0,0,728,4872.25,4326.0,-11.0,-2.0,11000.0,0,3,2,4,-1.0
100040,1,0,6,19,214,21,14,1,2,86028,6,5069.0,6199.0,8142.0,9173.0,4001.0,4958.0,6630.0,7704.0,5,6300.0,0,594,7145.75,5823.25,-19.0,-2.0,14000.0,0,3,0,4,-1.0
100041,1,0,3,26,398,0,14,1,2,50532,1,5660.0,6628.0,8872.0,9711.0,5129.0,5987.0,8166.0,9532.0,5,5600.0,0,505,7717.75,7203.5,-7.0,-9.0,17000.0,0,3,2,4,-1.0
100042,1,0,5,3,241,7,15,1,2,60554,3,4690.0,5796.0,7488.0,9182.0,4340.0,5590.0,7370.0,9073.0,5,6200.0,0,1703,6789.0,6593.25,-3.0,-2.0,12000.0,0,3,2,4,-1.0
100043,1,0,9,6,170,24,13,1,1,63377,4,4769.0,6001.0,8035.0,9312.0,5199.0,6557.0,8239.0,9329.0,5,8300.0,0,1223,7029.25,7331.0,4.0,2.0,7000.0,2,0,2,4,5.4
100044,1,0,4,22,208,7,13,1,2,63151,6,6843.0,7845.0,10022.0,10942.0,6702.0,7845.0,10656.0,12473.0,5,7100.0,0,923,8913.0,9419.0,6.0,-5.0,16000.0,0,3,0,4,-1.0
100045,1,0,7,23,264,45,15,1,2,97221,6,3666.0,4925.0,6135.0,7515.0,2879.0,3872.0,6339.0,7096.0,5,4600.0,0,2074,5560.25,5046.5,-9.0,-2.0,14000.0,0,3,2,4,-1.0
100046,1,0,5,9,20,30,15,1,2,73726,1,3295.0,4183.0,6362.0,7066.0,2946.0,4098.0,6044.0,7087.0,5,4100.0,0,920,5226.5,5043.75,-3.0,-4.0,15000.0,0,3,2,4,-1.0
100047,1,0,4,3,114,48,13,1,2,84763,1,5528.0,6586.0,8470.0,9913.0,5018.0,6035.0,8371.0,9223.0,5,5900.0,0,853,7624.25,7161.75,-6.0,-6.0,21000.0,0,3,2,4,-1.0
100048,1,0,7,23,253,4,8,1,1,92782,6,3741.0,4678.0,6368.0,7630.0,3320.0,4417.0,6086.0,7422.0,5,4700.0,0,1209,5604.25,5311.25,-5.0,-2.0,13000.0,0,3,2,4,-1.0
100049,1,0,6,3,3,48,7,1,2,62990,5,6217.0,7767.0,10090.0,11805.0,5309.0,6694.0,8983.0,11326.0,5,8300.0,0,1020,8969.75,8078.0,-10.0,-1.0,10000.0,0,3,2,-1,4.8
100050,1,0,4,22,208,7,14,1,1,64458,6,6874.0,8064.0,10059.0,11482.0,6635.0,7866.0,10354.0,11480.0,5,7400.0,0,1118,9119.75,9083.75,-0.0,-5.0,16000.0,1,3,2,4,-1.0
100051,1,0,8,1,365,7,15,1,1,73725,3,4862.0,6216.0,8540.0,10127.0,5500.0,7139.0,8546.0,9974.0,5,5900.0,0,2274,7436.25,7789.75,5.0,-3.0,9000.0,0,3,2,4,-1.0
100052,1,0,5,6,484,77,14,1,1,66695,6,4668.0,5538.0,7714.0,8713.0,3566.0,4775.0,6591.0,8258.0,5,6000.0,0,825,6658.25,5797.5,-13.0,-2.0,13000.0,0,3,2,4,-1.0
100053,1,0,5,6,484,75,7,1,1,58823,6,4346.0,5727.0,7345.0,8929.0,3787.0,4908.0,7728.0,10015.0,5,5800.0,0,754,6586.75,6609.5,0.0,-2.0,12000.0,0,3,2,4,-1.0
100054,1,0,2,5,80,75,13,1,2,50644,6,7813.0,8262.0,11116.0,11566.0,7860.0,8721.0,11874.0,12643.0,5,7500.0,0,754,9689.25,10274.5,6.0,-11.0,25000.0,0,3,2,4,-1.0
100055,1,0,4,6,178,117,13,1,1,88832,1,5241.0,6547.0,8582.0,9440.0,5218.0,6367.0,8921.0,9971.0,5,5800.0,0,1243,7452.5,7619.25,2.0,-6.0,22000.0,0,3,2,4,-1.0
100056,1,0,3,9,147,30,2,1,2,61319,6,7346.0,8563.0,10865.0,11910.0,7219.0,8188.0,11019.0,11908.0,5,7235.0,0,533,9671.0,9583.5,-1.0,-8.0,20000.0,0,3,2,4,-1.0
100057,1,0,4,5,466,91,6,1,1,73870,6,5116.0,6138.0,7862.0,9432.0,4820.0,5937.0,8082.0,9233.0,5,5500.0,0,1155,7137.0,7018.0,-2.0,-6.0,18000.0,0,3,0,4,-1.0
100058,1,0,3,26,192,0,8,2,2,43535,6,5244.0,6134.0,8632.0,9665.0,4335.0,5770.0,8372.0,9805.0,5,5800.0,0,482,7418.75,7070.5,-5.0,-7.0,15000.0,0,3,2,4,-1.0
100059,1,0,4,3,114,48,14,2,2,55683,1,5052.0,6140.0,7776.0,8965.0,5018.0,6035.0,8371.0,9223.0,5,6000.0,0,671,6983.25,7161.75,3.0,-4.0,14000.0,0,3,2,4,-1.0
100060,1,0,5,27,128,9,14,1,2,58681,1,5843.0,6876.0,9272.0,10529.0,5652.0,6657.0,8835.0,9988.0,5,6300.0,0,505,8130.0,7783.0,-4.0,-5.0,12000.0,0,3,2,4,-1.0
100061,1,0,8,5,95,95,14,1,0,94506,12,3369.0,4412.0,5770.0,6754.0,2421.0,2980.0,4780.0,5423.0,5,4600.0,0,2218,5076.25,3901.0,-23.0,-1.0,12000.0,1,2,2,-1,3.3
100062,1,0,4,16,511,122,3,1,1,77786,8,8075.0,9652.0,11354.0,12827.0,7609.0,9505.0,10944.0,12862.0,5,7300.0,0,920,10477.0,10230.0,-2.0,-8.0,19000.0,0,0,0,4,-1.0
100063,1,0,4,4,7,7,7,1,2,62955,10,9620.0,11498.0,13747.0,15428.0,9207.0,10649.0,12236.0,13920.0,5,9935.0,0,1215,12573.25,11503.0,-9.0,-5.0,16000.0,0,3,2,4,-1.0
100064,1,0,5,3,114,7,5,1,2,75101,1,4245.0,5299.0,7010.0,8183.0,4224.0,5207.0,7590.0,8399.0,5,5135.0,0,803,6184.25,6355.0,3.0,-3.0,15000.0,0,3,2,4,-1.0
100065,1,0,5,4,363,98,14,1,1,85334,2,7592.0,9194.0,10292.0,13662.0,7228.0,8967.0,10679.0,12522.0,5,8335.0,0,1503,10185.0,9849.0,-3.0,-4.0,17000.0,0,2,2,4,-1.0
100066,1,0,5,3,160,48,14,1,2,77050,7,7014.0,8310.0,10631.0,11934.0,6754.0,8038.0,11227.0,13362.0,5,7900.0,0,1389,9472.25,9845.25,4.0,-3.0,15000.0,1,2,2,4,-1.0
100067,1,0,4,8,25,53,3,1,2,84388,6,9079.0,10482.0,12702.0,14481.0,8840.0,10100.0,12757.0,14447.0,5,9000.0,0,594,11686.0,11536.0,-1.0,-6.0,21000.0,0,3,0,4,-1.0
100068,1,0,7,4,377,7,3,1,2,45680,6,2839.0,3716.0,5681.0,6840.0,3061.0,3843.0,6309.0,6915.0,5,4600.0,0,1275,4769.0,5032.0,6.0,-1.0,7000.0,0,3,2,4,-1.0
100069,1,0,6,3,118,48,15,1,2,65459,9,3923.0,4569.0,7736.0,8411.0,3817.0,4877.0,7142.0,8540.0,5,5900.0,0,630,6159.75,6094.0,-1.0,-1.0,11000.0,0,0,2,-1,2.8
100070,1,0,5,6,484,75,2,1,2,88723,6,3359.0,4582.0,6854.0,9350.0,3475.0,4759.0,6671.0,8140.0,5,4900.0,0,983,6036.25,5761.25,-5.0,-4.0,18000.0,0,3,2,4,-1.0
100071,1,0,5,4,377,98,13,1,2,77380,6,4273.0,5296.0,7695.0,8759.0,3907.0,5190.0,7615.0,8659.0,5,5235.0,0,1389,6505.75,6342.75,-3.0,-4.0,15000.0,0,3,2,4,-1.0
100072,1,0,4,4,377,7,13,1,2,66568,6,5108.0,6069.0,8483.0,9557.0,4775.0,5796.0,8667.0,9390.0,5,6150.0,0,1215,7304.25,7157.0,-2.0,-4.0,17000.0,0,3,2,4,-1.0
100073,1,0,8,7,156,82,13,1,1,82158,7,5302.0,6658.0,8218.0,9777.0,5483.0,6924.0,8950.0,10403.0,5,7600.0,0,1543,7488.75,7940.0,6.0,0.0,10000.0,0,0,1,4,4.2
100074,0,0,6,6,484,77,6,1,1,79081,6,4017.0,5555.0,7330.0,9314.0,4017.0,5555.0,7301.0,9129.0,5,5500.0,0,920,6554.0,6500.5,-1.0,-3.0,13000.0,0,3,2,4,-1.0
100075,0,0,3,22,228,7,14,1,2,88528,3,7814.0,9358.0,11185.0,12745.0,7370.0,8840.0,11066.0,12664.0,5,6800.0,0,2152,10275.5,9985.0,-3.0,-11.0,30000.0,0,3,2,4,-1.0
100076,0,0,3,22,208,7,15,1,2,89443,6,6976.0,8174.0,10513.0,11445.0,6491.0,7771.0,9545.0,10739.0,5,6100.0,0,1113,9277.0,8636.5,-7.0,-11.0,30000.0,0,3,0,4,-1.0
100077,0,0,4,5,466,91,2,1,2,85894,6,6654.0,7492.0,9910.0,10630.0,6109.0,6644.0,9491.0,10016.0,5,5100.0,0,1503,8671.5,8065.0,-7.0,-10.0,21000.0,1,3,2,4,-1.0
100078,0,0,6,6,484,53,7,1,2,79352,6,3761.0,4868.0,7059.0,8235.0,3671.0,5000.0,6827.0,8236.0,5,4000.0,0,920,5980.75,5933.5,-1.0,-6.0,13000.0,0,3,2,4,-1.0
100079,0,0,8,20,39,7,3,1,1,73638,6,3893.0,4897.0,6868.0,8193.0,3425.0,4446.0,6339.0,7763.0,5,7350.0,0,986,5962.75,5493.25,-8.0,3.0,9000.0,0,3,2,4,-1.0
100080,0,0,6,27,128,9,14,1,2,74697,1,4876.0,5748.0,8033.0,9497.0,4584.0,5345.0,6997.0,8242.0,5,6800.0,0,569,7038.5,6292.0,-11.0,-1.0,12000.0,0,3,2,4,-1.0
100081,0,0,4,3,160,48,7,1,2,63908,7,8210.0,9827.0,12160.0,13819.0,8055.0,9771.0,11543.0,13228.0,5,8950.0,0,1215,11004.0,10649.25,-3.0,-5.0,16000.0,1,2,2,4,-1.0
100082,0,0,8,6,345,7,6,1,1,74538,11,3827.0,4838.0,6686.0,7587.0,3241.0,3999.0,6269.0,7389.0,5,5000.0,0,1103,5734.5,5224.5,-9.0,-2.0,9000.0,1,3,2,2,-1.0
100083,0,0,6,13,402,7,5,1,2,77552,1,2118.0,2783.0,4727.0,5558.0,1748.0,2395.0,4700.0,6440.0,5,3700.0,0,569,3796.5,3820.75,1.0,-0.0,13000.0,0,3,2,4,-1.0
100084,0,0,5,5,140,86,13,1,2,86500,7,7244.0,8957.0,10794.0,12241.0,6030.0,7577.0,9510.0,10769.0,5,7600.0,0,1373,9809.0,8471.5,-14.0,-5.0,17000.0,1,0,2,4,3.7
100085,0,0,2,5,57,75,10,1,2,79755,6,7646.0,8799.0,11607.0,12875.0,7789.0,8646.0,11532.0,12238.0,5,7850.0,0,1155,10231.75,10051.25,-2.0,-12.0,40000.0,0,3,0,4,-1.0
100086,0,0,7,13,453,22,3,1,1,74273,7,5336.0,6663.0,8435.0,9596.0,4231.0,5156.0,7610.0,8321.0,5,7300.0,0,2157,7507.5,6329.5,-16.0,-0.0,11000.0,0,1,2,4,-1.0
100087,0,0,4,19,214,21,3,1,2,97593,6,6060.0,7545.0,8988.0,10357.0,5545.0,6764.0,8949.0,10010.0,5,6050.0,0,620,8237.5,7817.0,-5.0,-7.0,24000.0,0,3,0,4,-1.0
100088,0,0,1,3,291,48,7,1,2,80120,6,9900.0,10858.0,13687.0,14727.0,11386.0,12751.0,14524.0,16018.0,5,8800.0,0,1113,12293.0,13669.75,11.0,-28.0,80000.0,0,3,0,4,-1.0
100089,0,0,2,13,402,7,5,1,2,49408,1,5445.0,6599.0,8080.0,9793.0,6001.0,6722.0,9052.0,9686.0,5,5300.0,0,482,7479.25,7865.25,5.0,-15.0,25000.0,0,3,2,4,-1.0
100090,0,0,1,3,241,49,7,1,1,60559,3,9944.0,10977.0,14036.0,15253.0,10981.0,12184.0,14779.0,16077.0,5,9000.0,0,1703,12552.5,13505.25,8.0,-28.0,61000.0,1,3,2,4,3.5
100091,0,0,6,9,20,28,14,1,2,87463,1,2556.0,3520.0,5360.0,6537.0,2523.0,3247.0,5096.0,5870.0,5,4000.0,0,983,4493.25,4184.0,-7.0,-2.0,15000.0,0,3,2,4,-1.0
100092,0,0,3,3,241,49,7,1,1,70029,3,7655.0,8963.0,11715.0,13333.0,7388.0,8774.0,11340.0,12984.0,5,8550.0,0,1974,10416.5,10121.5,-3.0,-6.0,23000.0,1,3,2,4,3.5
100093,0,0,1,6,200,75,2,1,1,62846,6,11510.0,12950.0,16310.0,17717.0,12008.0,13466.0,16020.0,17274.0,5,8650.0,0,1118,14621.75,14692.0,0.0,-41.0,63000.0,1,3,2,4,-1.0
100094,0,0,4,3,160,48,8,1,2,74187,7,8258.0,9982.0,12554.0,14114.0,7797.0,9857.0,11518.0,13600.0,5,8000.0,0,1389,11227.0,10693.0,-5.0,-7.0,19000.0,1,2,2,4,-1.0
100095,0,0,5,12,281,71,14,1,1,76007,8,7979.0,9680.0,11325.0,12953.0,8167.0,9595.0,11202.0,12774.0,5,7600.0,0,686,10484.25,10434.5,-0.0,-6.0,15000.0,1,0,2,4,-1.0
100096,0,0,4,3,114,48,15,1,2,87839,1,4529.0,5607.0,7233.0,8483.0,4698.0,5835.0,7597.0,8838.0,5,5000.0,0,853,6463.0,6742.0,4.0,-6.0,22000.0,0,3,2,4,-1.0
100097,0,0,4,22,228,7,5,1,1,82246,3,5629.0,7085.0,9278.0,10521.0,5351.0,6552.0,8433.0,10326.0,5,6500.0,0,2152,8128.25,7665.5,-6.0,-5.0,21000.0,0,3,2,4,-1.0
100098,0,0,2,5,57,75,13,1,2,60886,6,7487.0,8548.0,11220.0,12256.0,7629.0,8779.0,11501.0,12633.0,5,9100.0,0,1020,9877.75,10135.5,3.0,-4.0,30000.0,0,3,0,4,-1.0
100099,0,0,4,4,504,7,14,1,2,56039,12,5335.0,6753.0,9066.0,10559.0,6109.0,7661.0,9397.0,11249.0,5,6900.0,0,1251,7928.25,8604.0,9.0,-3.0,14000.0,0,0,2,-1,3.3
100100,0,0,2,4,428,7,13,1,2,51127,6,8662.0,10020.0,12371.0,14000.0,10100.0,11432.0,13634.0,14884.0,5,9600.0,0,920,11263.25,12512.5,11.0,-7.0,26000.0,0,3,0,2,-1.0
100101,0,0,4,3,517,48,3,1,2,98358,12,5619.0,6876.0,9683.0,10938.0,4974.0,5932.0,8719.0,9786.0,5,5000.0,0,2495,8279.0,7352.75,-11.0,-10.0,25000.0,1,2,2,-1,3.5
100102,0,0,7,5,349,91,16,1,1,71542,1,2236.0,3017.0,4935.0,5894.0,2759.0,3700.0,5224.0,6218.0,5,4400.0,0,986,4020.5,4475.25,11.0,1.0,10000.0,0,3,2,4,-1.0
100103,0,0,7,9,425,30,5,1,1,97902,7,4014.0,4998.0,7258.0,8314.0,4134.0,5566.0,7590.0,8511.0,5,5100.0,0,1065,6146.0,6450.25,5.0,-2.0,14000.0,1,0,2,4,2.7
100104,0,0,8,6,178,113,14,1,1,86341,1,2718.0,3491.0,5407.0,6233.0,2908.0,3559.0,5541.0,6200.0,5,4200.0,0,1543,4462.25,4552.0,2.0,-1.0,11000.0,0,3,2,4,-1.0
100105,0,0,3,5,80,7,13,1,2,81646,6,6041.0,7388.0,9865.0,11110.0,6818.0,8230.0,10488.0,11582.0,5,6200.0,0,983,8601.0,9279.5,8.0,-9.0,27000.0,0,3,2,4,-1.0
100106,0,0,5,20,436,7,5,1,2,76659,1,4307.0,5285.0,7815.0,8670.0,4494.0,5584.0,8130.0,8865.0,5,5350.0,0,569,6519.25,6768.25,4.0,-4.0,15000.0,0,3,2,4,1.8
100107,0,0,1,22,208,7,7,1,1,56849,6,10045.0,11240.0,14118.0,15297.0,9774.0,11439.0,13314.0,15279.0,5,8400.0,0,1003,12675.0,12451.5,-2.0,-34.0,57000.0,1,3,2,4,-1.0
100108,0,0,4,22,208,7,3,1,2,84747,6,5906.0,7176.0,9925.0,11271.0,6415.0,7923.0,9487.0,11454.0,5,7250.0,0,1373,8569.5,8819.75,3.0,-4.0,21000.0,1,3,2,4,-1.0
100109,3,0,2,5,57,75,2,1,2,73993,6,8007.0,8941.0,11641.0,12691.0,8134.0,9170.0,11840.0,12941.0,5,7400.0,0,1155,10320.0,10521.25,2.0,-14.0,37000.0,0,3,0,4,-1.0
100110,3,0,3,6,172,87,7,1,1,75031,5,15245.0,17466.0,19061.0,20539.0,13962.0,17134.0,15911.0,19525.0,5,8850.0,0,803,18077.75,16633.0,-8.0,-17.0,25000.0,2,0,2,-1,4.6
100111,3,0,4,5,466,91,15,1,1,76712,6,5969.0,6753.0,9307.0,9807.0,6091.0,8079.0,9702.0,11756.0,5,5800.0,0,1389,7959.0,8907.0,12.0,-7.0,19000.0,1,3,2,4,-1.0
100112,3,0,5,13,454,22,8,1,2,25830,6,3384.0,4491.0,6170.0,8136.0,3638.0,4681.0,6560.0,7436.0,5,6050.0,0,462,5545.25,5578.75,1.0,2.0,5000.0,0,3,2,4,-1.0
100113,3,0,4,17,422,31,8,1,2,52492,6,3885.0,4913.0,4696.0,5806.0,6115.282146970744,7371.260539046302,8752.45054134992,10122.496521538817,34,4985.0,0,754,4825.0,8090.372437226446,68.0,1.0,13000.0,1,3,2,4,-1.0
100114,2,0,4,6,346,7,3,1,1,73576,11,8780.0,10177.0,9982.0,11491.0,7870.0,9315.0,9000.0,10560.0,34,9005.0,0,803,10107.5,9186.25,-9.0,-3.0,18000.0,1,3,2,2,-1.0
100115,2,0,4,3,246,7,5,1,2,82007,3,4602.0,6026.0,5470.0,7008.0,4267.0,5737.0,5108.0,6696.0,34,4665.0,0,2152,5776.5,5452.0,-6.0,-5.0,21000.0,1,3,2,4,-1.0
100116,2,0,2,5,108,7,14,1,1,47662,10,9846.0,11346.0,11134.0,12754.0,10310.0,11882.0,11635.0,13333.0,34,10315.0,0,975,11270.0,11790.0,5.0,-4.0,24000.0,1,3,2,4,2.7
